date,Valor_Real,Valor_Predicho,Modelo,Version,RMSE,MAE,R2,SMAPE,Hyperparámetros,Tipo_Mercado,Periodo
2015-01-15,0.04807547548552216,0.048077683884243695,CatBoost,Three-Zones-Complete,5.804138627310074e-06,4.638066640595868e-06,0.9999999819350082,0.1753681938489982,"{""learning_rate"": 0.0976991672780769, ""depth"": 10, ""iterations"": 2774}",S&P500,Training
2015-01-16,0.03842725562048122,0.03842507300305663,CatBoost,Three-Zones-Complete,5.804138627310074e-06,4.638066640595868e-06,0.9999999819350082,0.1753681938489982,"{""learning_rate"": 0.0976991672780769, ""depth"": 10, ""iterations"": 2774}",S&P500,Training
2015-01-19,0.03842725562048122,0.03843596208494033,CatBoost,Three-Zones-Complete,5.804138627310074e-06,4.638066640595868e-06,0.9999999819350082,0.1753681938489982,"{""learning_rate"": 0.0976991672780769, ""depth"": 10, ""iterations"": 2774}",S&P500,Training
2015-01-20,0.0384672435105069,0.03846153824089792,CatBoost,Three-Zones-Complete,5.804138627310074e-06,4.638066640595868e-06,0.9999999819350082,0.1753681938489982,"{""learning_rate"": 0.0976991672780769, ""depth"": 10, ""iterations"": 2774}",S&P500,Training
2015-01-21,0.03326607942522508,0.03326410675871201,CatBoost,Three-Zones-Complete,5.804138627310074e-06,4.638066640595868e-06,0.9999999819350082,0.1753681938489982,"{""learning_rate"": 0.0976991672780769, ""depth"": 10, ""iterations"": 2774}",S&P500,Training
2015-01-22,0.01657619232260577,0.01658162976265934,CatBoost,Three-Zones-Complete,5.804138627310074e-06,4.638066640595868e-06,0.9999999819350082,0.1753681938489982,"{""learning_rate"": 0.0976991672780769, ""depth"": 10, ""iterations"": 2774}",S&P500,Training
2015-01-23,0.02851155083341461,0.02850554640347266,CatBoost,Three-Zones-Complete,5.804138627310074e-06,4.638066640595868e-06,0.9999999819350082,0.1753681938489982,"{""learning_rate"": 0.0976991672780769, ""depth"": 10, ""iterations"": 2774}",S&P500,Training
2015-01-26,0.02556997715230169,0.025575694501606364,CatBoost,Three-Zones-Complete,5.804138627310074e-06,4.638066640595868e-06,0.9999999819350082,0.1753681938489982,"{""learning_rate"": 0.0976991672780769, ""depth"": 10, ""iterations"": 2774}",S&P500,Training
2015-01-27,0.04237496920423744,0.0423711247508483,CatBoost,Three-Zones-Complete,5.804138627310074e-06,4.638066640595868e-06,0.9999999819350082,0.1753681938489982,"{""learning_rate"": 0.0976991672780769, ""depth"": 10, ""iterations"": 2774}",S&P500,Training
2015-01-28,0.05578863250424537,0.055789481770941673,CatBoost,Three-Zones-Complete,5.804138627310074e-06,4.638066640595868e-06,0.9999999819350082,0.1753681938489982,"{""learning_rate"": 0.0976991672780769, ""depth"": 10, ""iterations"": 2774}",S&P500,Training
2015-01-29,0.04428062537106658,0.04428657191794518,CatBoost,Three-Zones-Complete,5.804138627310074e-06,4.638066640595868e-06,0.9999999819350082,0.1753681938489982,"{""learning_rate"": 0.0976991672780769, ""depth"": 10, ""iterations"": 2774}",S&P500,Training
2015-01-30,0.05488721804511276,0.054880751377782096,CatBoost,Three-Zones-Complete,5.804138627310074e-06,4.638066640595868e-06,0.9999999819350082,0.1753681938489982,"{""learning_rate"": 0.0976991672780769, ""depth"": 10, ""iterations"": 2774}",S&P500,Training
2015-02-02,0.04780285035629461,0.0478014256828671,CatBoost,Three-Zones-Complete,5.804138627310074e-06,4.638066640595868e-06,0.9999999819350082,0.1753681938489982,"{""learning_rate"": 0.0976991672780769, ""depth"": 10, ""iterations"": 2774}",S&P500,Training
2015-02-03,0.02819512195121954,0.02819098554343612,CatBoost,Three-Zones-Complete,5.804138627310074e-06,4.638066640595868e-06,0.9999999819350082,0.1753681938489982,"{""learning_rate"": 0.0976991672780769, ""depth"": 10, ""iterations"": 2774}",S&P500,Training
2015-02-04,0.02792064658339455,0.027928821396899572,CatBoost,Three-Zones-Complete,5.804138627310074e-06,4.638066640595868e-06,0.9999999819350082,0.1753681938489982,"{""learning_rate"": 0.0976991672780769, ""depth"": 10, ""iterations"": 2774}",S&P500,Training
2015-02-05,0.01866666666666661,0.018664590854405114,CatBoost,Three-Zones-Complete,5.804138627310074e-06,4.638066640595868e-06,0.9999999819350082,0.1753681938489982,"{""learning_rate"": 0.0976991672780769, ""depth"": 10, ""iterations"": 2774}",S&P500,Training
2015-02-06,0.007686694234979363,0.00768842780821752,CatBoost,Three-Zones-Complete,5.804138627310074e-06,4.638066640595868e-06,0.9999999819350082,0.1753681938489982,"{""learning_rate"": 0.0976991672780769, ""depth"": 10, ""iterations"": 2774}",S&P500,Training
2015-02-09,0.01597693848634396,0.015971351775570616,CatBoost,Three-Zones-Complete,5.804138627310074e-06,4.638066640595868e-06,0.9999999819350082,0.1753681938489982,"{""learning_rate"": 0.0976991672780769, ""depth"": 10, ""iterations"": 2774}",S&P500,Training
2015-02-10,-0.01179541719037025,-0.011790262232092605,CatBoost,Three-Zones-Complete,5.804138627310074e-06,4.638066640595868e-06,0.9999999819350082,0.1753681938489982,"{""learning_rate"": 0.0976991672780769, ""depth"": 10, ""iterations"": 2774}",S&P500,Training
2015-02-11,-0.01368141165095482,-0.01368269360049306,CatBoost,Three-Zones-Complete,5.804138627310074e-06,4.638066640595868e-06,0.9999999819350082,0.1753681938489982,"{""learning_rate"": 0.0976991672780769, ""depth"": 10, ""iterations"": 2774}",S&P500,Training
2015-02-12,-0.01082116351448403,-0.010831902907735707,CatBoost,Three-Zones-Complete,5.804138627310074e-06,4.638066640595868e-06,0.9999999819350082,0.1753681938489982,"{""learning_rate"": 0.0976991672780769, ""depth"": 10, ""iterations"": 2774}",S&P500,Training
2015-02-13,-0.02079160705770144,-0.020779646464023027,CatBoost,Three-Zones-Complete,5.804138627310074e-06,4.638066640595868e-06,0.9999999819350082,0.1753681938489982,"{""learning_rate"": 0.0976991672780769, ""depth"": 10, ""iterations"": 2774}",S&P500,Training
2015-02-16,-0.007534573199809325,-0.007538700402144088,CatBoost,Three-Zones-Complete,5.804138627310074e-06,4.638066640595868e-06,0.9999999819350082,0.1753681938489982,"{""learning_rate"": 0.0976991672780769, ""depth"": 10, ""iterations"": 2774}",S&P500,Training
2015-02-17,-0.01237918392610582,-0.01237334246346129,CatBoost,Three-Zones-Complete,5.804138627310074e-06,4.638066640595868e-06,0.9999999819350082,0.1753681938489982,"{""learning_rate"": 0.0976991672780769, ""depth"": 10, ""iterations"": 2774}",S&P500,Training
