"Date","Price","Open","High","Low","Change %"
"04/29/2025","1.630","1.693","1.693","1.629","-1.21%"
"04/28/2025","1.650","1.660","1.670","1.646","-0.60%"
"04/27/2025","1.660","1.675","1.757","1.655","0.00%"
"04/25/2025","1.660","1.675","1.675","1.655","0.00%"
"04/24/2025","1.660","1.710","1.710","1.651","0.00%"
"04/23/2025","1.660","1.660","1.680","1.655","0.61%"
"04/22/2025","1.650","1.709","1.709","1.648","-0.60%"
"04/21/2025","1.660","1.695","1.695","1.649","0.61%"
"04/18/2025","1.650","1.700","1.700","1.646","0.61%"
"04/17/2025","1.640","1.688","1.688","1.639","0.00%"
"04/16/2025","1.640","1.675","1.693","1.635","-0.61%"
"04/15/2025","1.650","1.703","1.703","1.652","0.00%"
"04/14/2025","1.650","1.703","1.703","1.652","0.00%"
"04/11/2025","1.650","1.670","1.680","1.635","0.61%"
"04/10/2025","1.640","1.660","1.680","1.640","-0.61%"
"04/09/2025","1.650","1.685","1.695","1.641","-0.60%"
"04/08/2025","1.660","1.690","1.690","1.650","-0.60%"
"04/07/2025","1.670","1.678","1.678","1.627","-6.70%"
"04/03/2025","1.790","1.839","1.839","1.785","-3.24%"
"04/02/2025","1.850","1.910","1.910","1.850","-1.07%"
"04/01/2025","1.870","1.908","1.908","1.858","0.00%"
"03/31/2025","1.870","1.928","1.928","1.868","0.00%"
