"Date","Price","Open","High","Low","Change %"
"04/30/2025","3.563","3.607","3.607","3.558","-1.15%"
"04/29/2025","3.605","3.618","3.643","3.609","-0.39%"
"04/28/2025","3.618","3.592","3.641","3.590","1.06%"
"04/25/2025","3.580","3.554","3.599","3.549","1.16%"
"04/24/2025","3.539","3.616","3.616","3.540","-2.37%"
"04/23/2025","3.625","3.619","3.639","3.597","0.61%"
"04/22/2025","3.603","3.655","3.655","3.606","-1.17%"
"04/17/2025","3.646","3.695","3.731","3.633","-1.25%"
"04/16/2025","3.692","3.691","3.721","3.675","-0.66%"
"04/15/2025","3.717","3.673","3.731","3.671","0.99%"
"04/14/2025","3.680","3.756","3.767","3.681","-3.27%"
"04/11/2025","3.805","3.824","3.883","3.777","-0.22%"
"04/10/2025","3.813","3.887","3.890","3.793","-1.78%"
"04/09/2025","3.882","3.966","3.980","3.860","0.75%"
"04/08/2025","3.853","3.848","3.880","3.793","-0.22%"
"04/07/2025","3.862","3.795","3.873","3.738","2.75%"
"04/04/2025","3.758","3.734","3.781","3.700","-0.19%"
"04/03/2025","3.765","3.766","3.787","3.756","-1.25%"
"04/02/2025","3.813","3.790","3.826","3.777","0.71%"
"04/01/2025","3.786","3.832","3.832","3.768","-1.85%"
"03/31/2025","3.857","3.814","3.869","3.804","0.17%"
